"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"69",83,"1",26,"1","2","1","7","1",1600,"2","2","2","1","3","1",1000,"1","2","1",100,"2","1","3","3","5","6","6","6","6","6","6","6","6","6","1","3","2","1","AS","3","1","1","1","1","1","2","2","1","2","2","1","2","2","2","1","1","La Paz","33",1.66029585357411,"2"
"70",84,"1",23,"1","1","1","5","1",2400,"4","2","2","1","1","1",2700,"1","1","1",200,"5","1","1","1","5","1","3","5","5","3","5","5","5","5","1","6","1","1","NP","1","1","4","1","1","1","1","1","1","2","1","5","1","2","5","1","1","La Paz","33",1.66029585357411,"4"
"71",85,"1",16,"1","2","2","9","1",2800,"1","2","2","1","3","1",1200,"1","1","3",30,"3","1","1","1","1","5","1","1","1","1","1","1","1","1","2","2","1","1","ES","2","1","1","1","1","1","2","2","2","2","2","1","2","2","5","1","1","La Paz","33",1.66029585357411,"1"
"72",86,"1",38,"1","1","1","2","1",3000,"1","2","2","1","3","1",1500,"1","1","2",20,"3","1","2","6","6","6","7","2","3","1","7","7","7","7","2","7","2","1","CP","7","1","2","1","1","1","2","2","1","2","1","3","2","2","2","1","1","La Paz","33",1.66029585357411,"3"
"73",87,"1",45,"1","2","1","9","1",3800,"1","2","2","1","3","1",555,"1","1","3",40,"4","1","1","1","1","1","6","5","5","1","1","1","1","1","2","2","2","1","NP","1","1","2","1","1","1","1","1","1","1","2","2","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
"74",88,"1",15,"1","2","1","3","1",3400,"4","1","2","1","3","1",280,"1","1","2",40,"3","1","1","1","6","5","1","1","1","2","6","2","1","6","1","2","1","1","ES","3","1","1","1","1","1","2","2","1","2","2","2","2","2","6","1","1","La Paz","33",1.66029585357411,"2"
"75",89,"1",43,"1","2","2","1","1",1400,"1","2","2","1","3","1",1550,"1","2","3",100,"4","1","3","3","3","5","3","6","1","3","2","3","3","6","2","4","2","1","NP","4","1","2","1","1","1","1","2","1","2","2","2","1","2","6","1","1","La Paz","33",1.66029585357411,"3"
"76",90,"1",17,"1","1","1","3","1",1300,"1","2","2","1","3","1",1600,"1","1","3",15,"5","1","1","1","3","1","3","6","5","6","6","5","5","6","2","2","1","1","ES","1","1","2","1","1","1","2","2","2","2","1","1","1","2","1","1","1","La Paz","33",1.66029585357411,"2"
"77",91,"1",28,"1","2","2","9","1",1200,"1","2","2","1","3","1",700,"1","1","1",100,"3","1","1","4","1","1","1","1","2","4","5","7","7","6","2","4","1","1","AS","1","1","2","1","1","1","2","2","2","2","2","1","2","2","4","1","1","La Paz","33",1.66029585357411,"1"
"78",92,"1",17,"1","2","1","2","1",1850,"2","2","2","1","2","1",1700,"1","2","1",50,"2","1","6","6","6","5","4","6","4","1","3","5","7","2","1","2","1","1","ES","1","1","2","1","1","1","1","2","1","2","2","1","2","2","6","1","1","La Paz","33",1.66029585357411,"3"
"79",93,"1",25,"1","2","2","9","1",1250,"1","2","2","1","3","1",1600,"1","2","3",10,"5","1","1","1","5","6","6","5","3","1","3","5","6","6","1","4","1","1","ES","3","1","2","1","1","1","2","2","1","2","2","1","2","2","3","1","1","La Paz","33",1.66029585357411,"2"
"80",94,"1",46,"1","1","1","7","1",4000,"6","2","2","1","1","1",400,"6","1","2",10,"2","1","2","2","5","6","5","2","2","3","3","2","6","6","1","6","1","1","SB","3","2","2","1","1","1","1","1","1","2","1","1","1","1","4","1","1","El Alto","24",1.66029585357411,"5"
"81",95,"1",56,"1","1","1","8","1",3000,"1","1","2","1","1","1",500,"1","2","1",30,"4","1","1","1","1","1","1","2","2","2","2","2","2","7","2","1","2","1","NP","1","1","2","1","1","1","2","2","1","2","1","1","2","2","5","1","1","El Alto","24",1.66029585357411,"2"
"82",96,"1",36,"1","2","1","2","1",1400,"1","2","2","1","3","1",400,"1","1","3",40,"2","1","1","6","4","6","3","6","7","7","1","7","7","6","1","3","2","1","AS","3","1","1","1","1","1","2","2","2","2","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"2"
"83",97,"1",19,"1","2","1","3","1",1750,"1","2","2","1","3","1",700,"1","1","3",30,"3","1","1","5","5","5","5","1","1","2","1","1","6","2","2","6","1","1","ES","2","2","1","1","1","1","2","2","1","2","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"2"
"84",98,"1",35,"1","1","2","6","1",2800,"1","2","2","1","3","1",1400,"1","1","1",40,"3","1","1","1","6","1","1","1","3","6","6","4","2","2","2","6","1","1","AS","2","1","2","1","1","1","2","2","1","2","1","1","2","2","6","1","1","El Alto","24",1.66029585357411,"2"
"85",99,"1",55,"1","2","1","2","1",3500,"4","2","2","1","1","1",1000,"1","1","2",10,"2","3","1","1","1","1","3","1","3","3","1","1","3","2","2","7","2","1","AC","7","2","2","1","1","1","2","2","1","1","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"3"
"86",100,"1",25,"1","2","2","8","1",1350,"6","2","2","1","3","1",1300,"1","1","1",50,"3","1","4","4","4","4","4","4","4","3","2","5","2","2","1","6","1","1","AS","3","2","1","1","1","1","2","2","2","1","1","2","1","2","9","1","1","El Alto","24",1.66029585357411,"2"
"87",101,"1",35,"1","2","2","1","1",1000,"1","2","2","1","3","1",600,"1","1","2",30,"4","1","2","8","6","2","2","2","6","6","6","2","7","3","1","3","2","1","AS","3","2","1","1","1","1","2","2","2","2","2","1","2","2","1","1","1","El Alto","24",1.66029585357411,"1"
"88",102,"1",15,"1","2","1","8","1",6000,"2","2","2","1","3","1",900,"6","1","1",50,"3","1","6","3","5","6","8","6","6","5","1","4","2","7","1","2","1","1","ES","3","1","2","1","1","1","2","2","1","2","1","1","2","1","1","1","1","El Alto","24",1.66029585357411,"3"
"89",103,"1",60,"1","1","1","9","1",800,"1","1","2","1","3","1",1200,"1","1","3",150,"4","1","1","1","5","6","8","1","1","1","1","1","1","1","2","4","2","1","AC","7","1","2","1","1","1","1","1","1","2","1","3","2","2","4","1","1","La Paz","33",1.66029585357411,"4"
"90",104,"1",32,"1","1","1","8","1",600,"1","1","2","1","3","1",300,"1","2","3",230,"5","1","1","1","1","1","3","1","3","4","1","3","3","5","2","8","1","1","AS","8","1","3","1","1","1","1","1","1","2","2","3","2","2","3","1","1","La Paz","33",1.66029585357411,"4"
"91",105,"1",33,"1","2","2","9","1",2000,"4","2","2","1","3","1",500,"1","1","3",30,"5","3","1","1","1","1","1","1","1","1","1","1","1","1","1","6","2","1","CP","6","2","2","1","1","1","2","2","1","2","1","1","2","2","3","1","1","La Paz","33",1.66029585357411,"2"
