"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"937",10622,"1",19,"1","1","2","9","1",1500,"2","2","1","1","3","1",1200,"1","2","1",200,"5","1","4","1","3","1","3","1","1","1","1","1","1","1","1","2","1","1","ES","4","1","5","1","1","1","1","1","1","1","1","2","2","2","4","4","2","Warnes","95",1.48664897206359,"4"
"938",10623,"1",24,"1","2","1","5","1",2000,"1","1","2","1","2","1",900,"1","1","1",100,"5","1","1","1","1","1","1","5","6","5","4","5","4","4","2","4","1","1","ES","4","1","3","1","1","1","1","1","1","2","1","2","2","2","5","4","2","Warnes","95",1.48664897206359,"4"
"939",10624,"1",21,"1","2","1","5","1",2400,"1","2","1","1","3","1",1200,"1","1","1",160,"2","1","1","1","1","1","3","1","1","1","1","1","1","1","2","3","1","1","ES","4","1","3","1","2","1","2","2","2","2","1","1","2","2","4","4","2","Valle Grande","87",1.48664897206359,"2"
"940",10625,"1",22,"1","2","2","9","1",2900,"1","2","1","1","3","1",1000,"1","1","2",120,"5","1","1","1","1","1","3","1","1","1","1","1","1","1","1","4","1","1","NP","4","2","3","1","2","1","2","2","2","2","1","1","2","2","5","4","2","Valle Grande","87",1.48664897206359,"2"
"941",10626,"1",26,"1","2","1","9","1",1900,"1","2","1","1","3","1",1200,"1","1","1",200,"5","1","1","1","1","1","3","1","2","2","1","1","1","1","2","4","2","1","NP","4","1","3","1","2","1","2","2","2","2","1","1","2","2","5","4","2","Valle Grande","87",1.48664897206359,"2"
"942",10627,"1",26,"1","2","1","5","1",3500,"4","2","1","1","3","1",900,"1","1","1",150,"5","1","1","1","1","1","3","1","3","5","5","3","4","1","1","4","2","1","NP","4","1","4","1","2","1","1","2","2","2","1","2","2","2","5","4","2","Valle Grande","87",1.48664897206359,"3"
"943",10629,"1",23,"1","2","1","2","1",900,"1","1","2","1","3","1",750,"1","1","1",30,"3","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2","2","1","CP","2","1","2","1","2","1","2","2","2","2","1","1","2","2","5","4","2","Santa Rita","72",1.48664897206359,"2"
"944",10630,"1",25,"1","2","1","7","1",1900,"1","2","2","1","3","1",600,"1","1","1",30,"5","1","1","1","5","1","1","1","2","5","3","6","7","5","2","6","1","1","ES","1","2","2","1","2","1","2","2","2","2","1","1","2","2","7","4","2","Santa Rita","72",1.48664897206359,"1"
"945",10631,"1",34,"1","2","2","9","1",500,"1","2","2","1","3","1",1200,"1","1","1",30,"3","1","3","5","5","2","5","2","5","1","1","3","2","1","1","3","1","1","EM","3","1","3","1","2","1","2","2","2","2","1","1","2","2","7","4","2","Santa Rita","72",1.48664897206359,"2"
"946",10643,"1",26,"1","2","2","9","1",1100,"1","1","2","1","3","1",1100,"1","1","1",200,"5","1","6","1","3","3","3","6","7","3","3","2","3","6","1","4","3","1","NP","4","2","3","1","1","1","2","2","1","2","2","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"2"
